"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
160,160,"NZL","New Zealand",5,"Gisborne",23,"Gisborne",160,"n.a. ( 204)","Unknown","Unknown",NA,NA
161,160,"NZL","New Zealand",5,"Gisborne",23,"Gisborne",161,"n.a. ( 207)","Unknown","Unknown",NA,NA
162,160,"NZL","New Zealand",5,"Gisborne",23,"Gisborne",162,"n.a. ( 209)","Unknown","Unknown",NA,NA
163,160,"NZL","New Zealand",5,"Gisborne",23,"Gisborne",163,"n.a. ( 211)","Unknown","Unknown",NA,NA
164,160,"NZL","New Zealand",5,"Gisborne",23,"Gisborne",164,"n.a. ( 212)","Unknown","Unknown",NA,NA
165,160,"NZL","New Zealand",5,"Gisborne",24,"Otorohanga",165,"n.a. ( 191)","Unknown","Unknown",NA,NA
166,160,"NZL","New Zealand",5,"Gisborne",24,"Otorohanga",166,"n.a. ( 192)","Unknown","Unknown",NA,NA
167,160,"NZL","New Zealand",5,"Gisborne",24,"Otorohanga",167,"n.a. ( 193)","Unknown","Unknown",NA,NA
168,160,"NZL","New Zealand",5,"Gisborne",24,"Otorohanga",168,"n.a. ( 195)","Unknown","Unknown",NA,NA
169,160,"NZL","New Zealand",5,"Gisborne",24,"Otorohanga",169,"n.a. ( 201)","Unknown","Unknown",NA,NA
170,160,"NZL","New Zealand",5,"Gisborne",24,"Otorohanga",170,"n.a. ( 205)","Unknown","Unknown",NA,NA
171,160,"NZL","New Zealand",6,"Hawke's Bay",25,"Central Hawke's Bay",171,"n.a. ( 250)","Unknown","Unknown",NA,NA
172,160,"NZL","New Zealand",6,"Hawke's Bay",25,"Central Hawke's Bay",172,"n.a. ( 254)","Unknown","Unknown",NA,NA
173,160,"NZL","New Zealand",6,"Hawke's Bay",25,"Central Hawke's Bay",173,"n.a. ( 257)","Unknown","Unknown",NA,NA
174,160,"NZL","New Zealand",6,"Hawke's Bay",25,"Central Hawke's Bay",174,"n.a. ( 260)","Unknown","Unknown",NA,NA
175,160,"NZL","New Zealand",6,"Hawke's Bay",25,"Central Hawke's Bay",175,"n.a. ( 271)","Unknown","Unknown",NA,NA
176,160,"NZL","New Zealand",6,"Hawke's Bay",26,"Hastings city",176,"n.a. ( 244)","Unknown","Unknown",NA,NA
177,160,"NZL","New Zealand",6,"Hawke's Bay",26,"Hastings city",177,"n.a. ( 245)","Unknown","Unknown",NA,NA
178,160,"NZL","New Zealand",6,"Hawke's Bay",26,"Hastings city",178,"n.a. ( 247)","Unknown","Unknown",NA,NA
179,160,"NZL","New Zealand",6,"Hawke's Bay",26,"Hastings city",179,"n.a. ( 248)","Unknown","Unknown",NA,NA
180,160,"NZL","New Zealand",6,"Hawke's Bay",26,"Hastings city",180,"n.a. ( 249)","Unknown","Unknown",NA,NA
181,160,"NZL","New Zealand",6,"Hawke's Bay",27,"Hastings",181,"n.a. ( 216)","Unknown","Unknown",NA,NA
182,160,"NZL","New Zealand",6,"Hawke's Bay",27,"Hastings",182,"n.a. ( 226)","Unknown","Unknown",NA,NA
183,160,"NZL","New Zealand",6,"Hawke's Bay",27,"Hastings",183,"n.a. ( 240)","Unknown","Unknown",NA,NA
184,160,"NZL","New Zealand",6,"Hawke's Bay",27,"Hastings",184,"n.a. ( 242)","Unknown","Unknown",NA,NA
185,160,"NZL","New Zealand",6,"Hawke's Bay",27,"Hastings",185,"n.a. ( 243)","Unknown","Unknown",NA,NA
186,160,"NZL","New Zealand",6,"Hawke's Bay",27,"Hastings",186,"n.a. ( 253)","Unknown","Unknown",NA,NA
187,160,"NZL","New Zealand",6,"Hawke's Bay",28,"Napier",187,"n.a. ( 237)","Unknown","Unknown",NA,NA
188,160,"NZL","New Zealand",6,"Hawke's Bay",29,"Wairoa",188,"n.a. ( 206)","Unknown","Unknown",NA,NA
189,160,"NZL","New Zealand",6,"Hawke's Bay",29,"Wairoa",189,"n.a. ( 214)","Unknown","Unknown",NA,NA
190,160,"NZL","New Zealand",6,"Hawke's Bay",29,"Wairoa",190,"n.a. ( 215)","Unknown","Unknown",NA,NA
191,160,"NZL","New Zealand",6,"Hawke's Bay",29,"Wairoa",191,"n.a. ( 217)","Unknown","Unknown",NA,NA
192,160,"NZL","New Zealand",6,"Hawke's Bay",29,"Wairoa",192,"n.a. ( 219)","Unknown","Unknown",NA,NA
193,160,"NZL","New Zealand",6,"Hawke's Bay",29,"Wairoa",193,"n.a. ( 222)","Unknown","Unknown",NA,NA
194,160,"NZL","New Zealand",6,"Hawke's Bay",29,"Wairoa",194,"n.a. ( 233)","Unknown","Unknown",NA,NA
